Name,Book On Location,Book On Time,BookOffTime,BookOffLocation,Duration,Remarks
Z71503,SHT,04:05 AM,10:35 AM,HUH,6:00,FOTP4 T11
Z71504,HUH,04:24 PM,12:09 AM,HUH,7:15,LG2N STOP
Z71505,HUH,01:35 PM,10:20 PM,HUH,8:15,EMU  OT
Z71506,HUH,12:36 PM,08:36 PM,HUH,7:30,EMU
Z71507,SHS,04:55 AM,12:55 PM,HUH,7:30,LG2N T19
Z71508,SHT,04:05 AM,11:20 AM,HUH,6:45,SHTP4 T9
Z71509,HUH,05:54 PM,01:54 AM,HTD,7:30,EMU
Z71510,HUH,05:27 PM,01:27 AM,HUH,7:30,LG1S STOP
Z71511,HUH,03:06 PM,11:51 PM,HUH,8:15,SG2S STOP
Z71512,SHS,04:55 AM,12:55 PM,HUH,7:30,SG2S T15
Z71513,SHS,04:55 AM,12:10 PM,HUH,6:45,LMC PICK T4
Z71514,SHT,04:05 AM,12:05 PM,HUH,7:30,LOWP3PICKT13/ BY
Z71515,HUH,12:54 PM,09:39 PM,HUH,8:15,EMU  OT
Z71516,HUH,01:00 PM,09:00 PM,HUH,7:30,EMU
Z71517,,GH,,,,
Z71518,SHT,04:05 AM,12:05 PM,HUH,7:30,SB
Z71519,SHS,04:55 AM,11:55 AM,HUH,6:30,LMCP2 T23
Z71520,HTD,04:33 PM,01:18 AM,HUH,8:15,T29 LMCP2 STOP
Z71521,HUH,03:57 PM,12:27 AM,HTD,8:00,EMU
Z71522,HUH,03:37 PM,12:22 AM,HUH,8:15,LG2S STOP
Z71523,HUH,07:05 AM,03:50 PM,HUH,8:15,EMU OT
Z71524,SHS,04:55 AM,01:25 PM,HUH,8:00,LOWP3 T21
Z71525,SHT,04:05 AM,11:35 AM,HUH,7:00,FOTP1 T10
Z71526,HUH,05:23 PM,01:23 AM,HTD,7:30,EMU
Z71527,HUH,04:00 PM,12:30 AM,HUH,8:00,SB
Z71528,HTD,06:04 AM,02:19 PM,HUH,7:45,T27
Z71529,SHT,04:05 AM,10:50 AM,HUH,6:15,RACP1 T12
Z71530,HUH,07:01 PM,01:46 AM,HTD,6:15,EMU
Z71531,HUH,04:45 PM,01:30 AM,HUH,8:15,SHSP2  STOP
Z71532,HUH,04:34 PM,12:49 AM,HUH,7:45,SHS OFF
Z71533,,GH,,,,
Z71534,SHS,04:55 AM,12:40 PM,HUH,7:15,LG1N T18
Z71535,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP1 T6
Z71536,HUH,05:41 PM,01:41 AM,HTD,7:30,EMU
Z71537,HUH,05:17 PM,01:32 AM,HUH,7:45,LOWP3  STOP
Z71538,HUH,01:51 PM,09:21 PM,HUH,7:00,EMU
Z71539,SHS,04:55 AM,12:40 PM,HUH,7:15,LG2S T17
Z71540,HTD,05:22 AM,01:07 PM,HUH,7:15,T26
Z71541,HUH,05:51 PM,01:36 AM,HUH,7:15,FOTP4  STOP
Z71542,HUH,04:00 PM,12:15 AM,HUH,7:45,TAPP1  STOP
Z71543,HUH,01:00 PM,09:00 PM,HUH,7:30,SB
Z71544,SHS,04:55 AM,01:25 PM,HUH,8:00,SHSP2 T14
Z71545,SHT,04:05 AM,11:50 AM,HUH,7:15,TAPP1 T13
Z71546,HUH,05:02 PM,01:32 AM,HUH,8:00,LMCP1  STOP
Z71547,HUH,06:26 PM,01:26 AM,HUH,6:30,LG1N STOP
Z71548,HUH,01:32 PM,10:02 PM,HUH,8:00,LMC OFF
Z71549,SHS,04:55 AM,01:10 PM,HUH,7:45,LMCP1 122
Z71550,SHS,04:55 AM,11:40 AM,HUH,6:15,LG1S T16
Z71551,HUH,05:36 PM,01:36 AM,HUH,7:30,LOWP1  STOP
Z71552,HTD,04:30 PM,12:45 AM,HTD,7:45,HB
Z71553,HUH,02:03 PM,10:03 PM,HUH,7:30,EMU/PM BY
Z71554,HUH,07:56 AM,04:41 PM,HUH,8:15,EMU
Z71555,HUH,11:30 AM,07:00 PM,HUH,7:00,EMU
Z71556,HUH,11:00 AM,06:15 PM,HUH,6:45,EMU/RACP1 BY
