Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
R14101,HUH,06:41 AM,02:56 PM,HUH,7:45,TAP PICK T32
R14102,HUH,05:16 AM,12:46 PM,HUH,7:00,MKKP1S T3
R14103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
R14104,HUH,01:44 PM,08:59 PM,HUH,6:45,EMU
R14105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
R14106,HUH,10:28 AM,05:28 PM,HUH,6:30,EMU
R14107,HUH,05:22 AM,12:37 PM,HUH,6:45,EMU
R14108,HUH,08:00 AM,04:45 PM,HUH,8:15,EMU
R14109,HUH,05:23 PM,01:23 AM,HUH,7:30,FOTP1 STOP
R14110,HUH,05:07 PM,01:52 AM,HUH,8:15,SHTP3 STOP
R14111,HUH,02:11 PM,10:26 PM,HTD,7:45,EMU
R14112,HUH,05:17 AM,12:47 PM,HUH,7:00,EMU
R14113,SHT,04:05 AM,10:50 AM,HUH,6:15,SHTP4S T8
R14114,HUH,12:35 PM,08:05 PM,HUH,7:00,EMU/PM BY
R14115,HUH,01:17 PM,09:32 PM,HUH,7:45,EMU
R14116,HUH,12:22 PM,07:22 PM,HUH,6:30,EMU
R14117,HUH,07:33 AM,04:18 PM,HUH,8:15,EMU
R14118,HUH,05:41 AM,01:11 PM,HUH,7:00,EMU
R14119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
R14120,HUH,05:34 PM,01:34 AM,HTD,7:30,EMU
R14121,HUH,05:42 PM,01:27 AM,HUH,7:15,SHTP4 STOP
R14122,HUH,04:16 PM,01:01 AM,HUH,8:15,MKKP1S STOP
R14123,HTD,05:53 AM,01:38 PM,HTD,7:15,T29
R14124,HUH,06:53 AM,02:23 PM,HUH,7:00,EMU
R14125,HTD,05:11 AM,11:41 AM,HTD,6:00,T25
R14126,HUH,01:24 PM,10:09 PM,HUH,8:15,EMU
R14127,HUH,12:02 PM,07:47 PM,HTD,7:15,EMU/HTD BY
R14128,HUH,06:56 AM,01:56 PM,HUH,6:30,EMU
R14129,SHT,04:05 AM,10:35 AM,HTD,6:00,SHTP3 T7
