番號,上班地點,上班時間,下班時間,下班地點,工時,備註
V75536,HUH,15:04 ,23:19 ,HUH,7:45,LG1N STOP
V75537,HUH,16:49 ,01:19 ,HUH,8:00,LMCP2 STOP
V75538,HUH,16:21 ,00:21 ,HTD,7:30,EMU
V75539,SHS,04:55 ,13:10 ,HUH,7:45,LG1N Run18
V75540,HTD,05:25 ,13:25 ,HUH,7:30,Run26
V75541,HUH,19:00 ,01:30 ,HUH,6:00,FOTP4  STOP
V75542,HUH,15:26 ,00:11 ,HUH,8:15,TAPP1  STOP
V75543,HUH,13:00 ,21:00 ,HUH,7:30,SB
V75544,SHS,04:55 ,13:10 ,HUH,7:45,SHSP2 Run14
V75545,SHT,04:05 ,11:05 ,HUH,6:30,TAPP1 Run13
V75546,HUH,15:48 ,00:18 ,HUH,8:00,LG2S STOP
V75547,HUH,15:59 ,00:44 ,HTD,8:15,EMU
V75548,HUH,14:59 ,23:29 ,HUH,8:00,LMC OFF
V75549,SHS,04:55 ,12:40 ,HUH,7:15,LMCP1 Run22
V75550,SHS,04:55 ,12:40 ,HTD,7:15,LG2S Run17
V75551,HUH,19:06 ,01:36 ,HUH,6:00,LOWP3  STOP
V75552,HTD,16:30 ,00:45 ,HTD,7:45,HB
V75553,HUH,14:31 ,21:46 ,HUH,6:45,EMU
V75554,HUH,08:12 ,15:27 ,HUH,6:45,EMU
V75555,HUH,08:39 ,16:39 ,HUH,7:30,EMU
