番號,上班地點,上班時間,下班時間,下班地點,工時,備註
C15101,HUH,07:33,"14:33 ",HUH,6:30,EMU
C15102,HUH,"05:16 ","13:16 ",HUH,7:30,MKKP1S Run3
C15103,HTD,"05:05 ","12:05 ",HUH,6:30,Run24
C15104,HUH,"14:00 ","20:30 ",HUH,6:00,EMU
C15105,HUH,"11:00 ","19:45 ",HUH,8:15,KB
C15106,HUH,"10:44 ","17:44 ",HUH,6:30,EMU
C15107,HUH,"05:22 ","13:07 ",HUH,7:15,EMU
C15108,HUH,"08:11 ","15:41 ",HUH,7:00,EMU
C15109,HUH,"17:46 ","01:31 ",HUH,7:15,FOTP1  STOP
C15110,HUH,"17:35 ","01:50 ",HUH,7:45,SHTP3 STOP
C15111,HUH,"14:07 ","22:22 ",HTD,7:45,EMU
C15112,HUH,"05:17 ","11:47 ",HUH,6:00,EMU
C15113,SHT,"04:05 ","11:20 ",HUH,6:45,SHTP4S Run8
C15114,HUH,"12:36 ","19:06 ",HUH,6:00,EMU
C15115,HUH,"13:04 ","21:04 ",HTD,7:30,EMU
C15116,HUH,"12:22 ","21:07 ",HUH,8:15,EMU
C15117,HUH,"08:07 ","14:37 ",HUH,6:00,EMU
C15118,HUH,"05:26 ","11:56 ",HTD,6:00,EMU
C15119,HUH,"04:28 ","11:43 ",HUH,6:45,MKKP3 Run5
C15120,HTD,"16:31 ","00:46 ",HUH,7:45,Run12(2)
C15121,HUH,"15:59 ","23:44 ",HUH,7:15,SHTP4  STOP
C15122,HUH,"14:49 ","23:04 ",HUH,7:45,SHTP4S  STOP
C15123,HUH,"07:14 ","13:44 ",HUH,6:00,EMU
C15124,HUH,"06:55 ","15:25 ",HUH,8:00,EMU
C15125,HTD,"05:11 ","12:26 ",HUH,6:45,Run25
C15126,HUH,"13:18 ","21:33 ",HTD,7:45,EMU
C15127,HUH,"12:01 ","20:31 ",HUH,8:00,EMU
C15128,HUH,"06:30 ","15:15 ",HUH,8:15,EMU
C15129,SHT,"04:05 ","10:50 ",HUH,6:15,SHTP3 Run7
C15130,HUH,"18:55 ","01:55 ",HUH,6:30,MKKP3 STOP
C15131,HUH,"17:15 ","01:30 ",HUH,7:45,KB
C15132,HUH,"15:17 ","21:47 ",HTD,6:00,EMU
C15133,HUH,"06:41 ","15:11 ",HUH,8:00,EMU
C15134,HTD,"05:00 ","13:30 ",HTD,8:00,HB/Hot Standby
C15135,HUH,"04:50 ","11:20 ",HUH,6:00,HUHP1 Run1
C15136,HUH,"14:28 ","22:28 ",HUH,7:30,MKKP1 STOP
C15137,HUH,"15:03 ","23:03 ",HUH,7:30,EMU
C15138,HUH,"16:27 ","01:12 ",HTD,8:15,EMU
C15139,HUH,"05:56 ","12:26 ",HUH,6:00,EMU
C15140,HUH,"04:28 ","12:28 ",HUH,7:30,KB
C15141,HUH,"06:34 ","13:04 ",HTD,6:00,EMU
C15142,HUH,"17:14 ","01:44 ",HUH,8:00,HUHP1 STOP
C15143,HUH,"16:34 ","01:04 ",HUH,8:00,EMU
C15144,HUH,"06:15 ","12:45 ",HUH,6:00,EMU
C15145,HUH,"08:01 ","16:16 ",HUH,7:45,EMU
C15146,HUH,"14:14 ","22:14 ",HUH,7:30,EMU
C15147,HUH,"12:50 ","21:20 ",HUH,8:00,EMU
C15148,HUH,"11:26 ","19:41 ",HUH,7:45,EMU
C15149,HUH,"04:50 ","11:20 ",HUH,6:00,HUHP4 Run2
C15150,HUH,"04:28 ","10:58 ",HUH,6:00,MKKP1 Run4
C15151,HTD,"05:26 ","11:56 ",HUH,6:00,Run27 + BY
C15152,HUH,"17:46 ","01:46 ",HUH,7:30,HUHP4  STOP
C15153,HUH,"18:06 ","01:51 ",HUH,7:15,SHTP1  STOP
C15154,HUH,"16:41 ","01:11 ",HUH,8:00,EMU
C15155,HUH,"06:37 ","14:52 ",HUH,7:45,EMU
C15156,HTD,"06:36 ","13:06 ",HUH,6:00,Run29
C15157,HUH,"15:10 ","21:40 ",HUH,6:00,MKKP1S STOP
C15158,HUH,"15:45 ","22:15 ",HTD,6:00,EMU
C15159,HTD,"12:00 ","19:30 ",HUH,7:00,HTD BY / T19(2)
C15301,HUH,"08:00 ","14:30 ",HUH,6:00,P702/P705/P712
C15302,LOW,"07:15 ","15:15 ",LOW,7:30,RS
C15303,HUH,"22:10 ","06:10 ",HUH,7:30,ET12
C15304,HUH,"22:10 ","06:10 ",HUH,7:30,ET6
C15305,HUH,"22:10 ","06:10 ",HUH,7:30,ET5
C15306,HUH,"10:15 ","17:15 ",HUH,6:30,P708/P713
C15307,HUH,"13:32 ","22:02 ",HUH,8:00,EMU
C15308,HUH,"13:30 ","22:15 ",HUH,8:15,P714/P717/P720
C15309,LOW,"14:30 ","22:30 ",LOW,7:30,RS/MTT
C15310,HUH,"13:30 ","21:45 ",HUH,7:45,P711/P718/P721
C15311,HUH,"08:00 ","15:00 ",HUH,6:30,P703/P704/P707
C15312,HUH,"07:48 ","16:33 ",HUH,8:15,EMU
C15313,HUH,"22:10 ","06:10 ",HUH,7:30,ET8
C15314,HUH,"22:10 ","06:10 ",HUH,7:30,ET3
C15315,HUH,"22:10 ","06:10 ",HUH,7:30,ET1
C15316,LOW,"07:15 ","15:15 ",LOW,7:30,RS
C15317,HUH,"22:10 ","06:10 ",HUH,7:30,ET11
C15318,HUH,"22:10 ","06:10 ",HUH,7:30,ET10
C15319,HUH,"22:10 ","06:10 ",HUH,7:30,ET2
C15320,LOW,"14:30 ","22:30 ",HUH,7:30,RS/MTT
C15321,HUH,"22:10 ","06:10 ",HUH,7:30,ET9
C15322,HUH,"22:10 ","06:10 ",HUH,7:30,ET7
C15323,HUH,"22:10 ","06:10 ",HUH,7:30,ET4
C15501,SHS,"04:55 ","11:25 ",HUH,6:00,LG2N(S)/LOW Step1
C15502,SHS,"04:55 ","11:25 ",HUH,6:00,LOWP3 Run21
C15503,SHT,"04:05 ","10:35 ",HTD,6:00,FOTP4 Run11
C15504,HUH,"13:53 ","22:08 ",HUH,7:45,SG2S STOP
C15505,HUH,"14:21 ","21:06 ",HUH,6:15,EMU
C15506,HUH,"10:58 ","19:28 ",HUH,8:00,EMU
C15507,SHS,"06:00 ","14:30 ",HUH,8:00,LG1S Run16 / HUH BY
C15508,SHT,"04:05 ","11:35 ",HUH,7:00,SHTP4 Run9
C15509,HUH,"16:17 ","00:17 ",HUH,7:30,LG2N STOP
C15510,HUH,"18:03 ","01:48 ",HUH,7:15,SHSP2 STOP
C15511,HUH,"14:35 ","21:05 ",HUH,6:00,LG1S STOP
C15512,SHS,"04:55 ","12:55 ",HUH,7:30,SG2S Run15
C15513,SHS,"04:55 ","12:40 ",HUH,7:15,LMC Step1
C15514,SHT,"04:05 ","10:35 ",HTD,6:00,LOW Step2
C15515,HUH,"13:11 ","21:11 ",HUH,7:30,LG1N STOP
C15516,HUH,"11:40 ","19:55 ",HUH,7:45,LOW OFF
C15517,HUH,"07:09 ","14:24 ",HUH,6:45,EMU
C15518,SHT,"04:05 ","12:05 ",HUH,7:30,SB
C15519,SHS,"04:55 ","13:25 ",HUH,8:00,LMCP2 Run23
C15520,HUH,"17:53 ","01:23 ",HUH,7:00,LMCP1 STOP
C15521,HUH,"15:24 ","21:54 ",HUH,6:00,EMU
C15522,HUH,"13:25 ","21:25 ",HTD,7:30,EMU
C15523,HUH,"07:26 ","14:11 ",HUH,6:15,EMU
C15524,SHS,"04:55 ","12:55 ",HUH,7:30,LOWP1 Run20
C15525,SHT,"04:05 ","10:35 ",HUH,6:00,FOTP1 Run10
C15526,HUH,"18:00 ","01:45 ",HUH,7:15,LOWP3 STOP
C15527,HUH,"16:00 ","00:30 ",HUH,8:00,SB
C15528,HTD,"06:05 ","12:35 ",HUH,6:00,Run28
C15529,SHT,"04:05 ","10:35 ",HUH,6:00,RACP1 Run12
C15530,HUH,"17:21 ","01:36 ",HTD,7:45,EMU
C15531,LOW,"15:32 ","00:17 ",HUH,8:15,LG1S Run16 (2)
C15532,HTD,"16:03 ","00:48 ",HUH,8:15,Run1a / SHS OFF
C15533,HUH,"07:36 ","14:06 ",HUH,6:00,EMU
