Name,bONl,bONt,bOFFt,bOFFl,Duration,Remarks
D15523,HUH,07:27 上午,04:12 下午,HUH,8:15,EMU
D15524,SHS,04:55 上午,11:40 上午,HUH,6:15,LOWP3 T21
D15525,SHT,04:05 上午,11:20 上午,HTD,6:45,FOTP1 T10
D15526,HUH,05:07 下午,01:37 上午,HUH,8:00,LOWP3 STOP
D15527,HUH,04:00 下午,12:30 上午,HUH,8:00,SB
D15528,HTD,06:02 上午,02:32 下午,HUH,8:00,T30
D15529,SHT,04:05 上午,11:20 上午,HTD,6:45,RACP1 T12
D15530,HUH,06:57 下午,01:42 上午,HTD,6:15,EMU
D15531,HUH,04:43 下午,01:28 上午,HUH,8:15,LG1S STOP
D15532,HUH,04:13 下午,12:58 上午,HUH,8:15,SHS OFF
D15533,SHS,06:00 上午,01:15 下午,HUH,6:45,SG2S T15
D15534,HTD,05:20 上午,12:20 下午,HUH,6:30,T26
D15535,SHT,04:05 上午,11:20 上午,HTD,6:45,SHTP1 T6
D15536,HUH,05:37 下午,01:37 上午,HUH,7:30,RACP1 STOP
D15537,HUH,04:25 下午,01:10 上午,HUH,8:15,LMCP2 STOP
D15538,LOW,01:32 下午,09:02 下午,HUH,7:00,LG1N T7a
D15539,SHS,04:55 上午,11:55 上午,HUH,6:30,LG2S T17
D15540,HTD,05:22 上午,01:37 下午,HUH,7:45,T27
D15541,HUH,05:50 下午,01:50 上午,HUH,7:30,FOTP4 STOP
D15542,HUH,03:41 下午,11:56 下午,HUH,7:45,TAPP1 STOP
D15543,HUH,01:00 下午,09:00 下午,HUH,7:30,SB
D15544,SHS,04:55 上午,12:25 下午,HUH,7:00,SHSP2 T14
D15545,SHT,04:05 上午,10:35 上午,HUH,6:00,TAPP1 T13
D15546,HUH,04:37 下午,01:22 上午,HUH,8:15,LG1N STOP
D15547,HTD,04:02 下午,12:17 上午,HTD,7:45,T11a
D15548,HUH,02:00 下午,10:00 下午,HUH,7:30,EMU
D15549,SHS,04:55 上午,12:10 下午,HUH,6:45,LMCP1 T22
D15550,SHS,04:55 上午,11:40 上午,HTD,6:15,LG1S T16
D15551,HUH,05:15 下午,01:45 上午,HUH,8:00,LOWP1 STOP
D15552,HTD,04:30 下午,12:45 上午,HTD,7:45,HB
D15553,HUH,01:57 下午,09:57 下午,HUH,7:30,EMU/PM BY
D15554,HUH,07:00 上午,03:45 下午,HUH,8:15,EMU
D15555,HUH,08:11 上午,04:40 下午,HUH,8:00,EMU
D15556,HTD,04:18 下午,02:33 下午,HUH,7:45,T33
D15557,HUH,06:44 下午,01:29 上午,HTD,6:15,EMU
