番號,上班地點,上班時間,下班時間,下班地點,工時,備註
R15101,HUH,07:33 ,14:33 ,HUH,6:30,EMU
R15102,HUH,05:16 ,13:16 ,HUH,7:30,MKKP1S Run3
R15103,HTD,05:05 ,12:05 ,HUH,6:30,Run24
R15104,HUH,14:00 ,20:30 ,HUH,6:00,EMU
R15105,HUH,11:00 ,19:45 ,HUH,8:15,KB
R15106,HUH,10:44 ,17:44 ,HUH,6:30,EMU
R15107,HUH,05:22 ,13:07 ,HUH,7:15,EMU
R15108,HUH,08:11 ,15:41 ,HUH,7:00,EMU
R15109,HUH,17:46 ,01:31 ,HUH,7:15,FOTP1  STOP
R15110,HUH,17:35 ,01:35 ,HUH,7:30,SHTP3 STOP
R15111,HUH,14:07 ,22:22 ,HUH,7:45,EMU
R15112,HUH,05:17 ,11:47 ,HUH,6:00,EMU
R15113,SHT,04:05 ,11:20 ,HUH,6:45,SHTP4S Run8
R15114,HUH,12:36 ,19:06 ,HTD,6:00,EMU
R15115,HUH,13:04 ,21:04 ,HUH,7:30,EMU
R15116,HUH,12:22 ,21:07 ,HUH,8:15,EMU
R15117,HUH,08:07 ,14:37 ,HUH,6:00,EMU
R15118,HUH,05:26 ,11:56 ,HTD,6:00,EMU
R15119,HUH,04:28 ,11:43 ,HUH,6:45,MKKP3 Run5
R15120,HTD,16:31 ,00:46 ,HUH,7:45,Run12(2)
R15121,HUH,15:59 ,23:44 ,HUH,7:15,SHTP4  STOP
R15122,HUH,14:49 ,23:04 ,HUH,7:45,SHTP4S  STOP
R15123,HUH,07:14 ,13:44 ,HUH,6:00,EMU
R15124,HUH,06:55 ,15:25 ,HUH,8:00,EMU
R15125,HTD,05:11 ,12:26 ,HUH,6:45,Run25
R15126,HUH,13:18 ,21:33 ,HTD,7:45,EMU
R15127,HUH,12:01 ,20:31 ,HUH,8:00,EMU
R15128,HUH,06:30 ,15:15 ,HUH,8:15,EMU
R15129,SHT,04:05 ,10:50 ,HUH,6:15,SHTP3 Run7
R15130,HUH,18:55 ,01:55 ,HUH,6:30,MKKP3 STOP
R15131,HUH,17:15 ,01:30 ,HUH,7:45,KB
R15132,HUH,15:17 ,21:47 ,HTD,6:00,EMU
R15133,HUH,06:41 ,15:11 ,HUH,8:00,EMU
R15134,HTD,05:00 ,13:30 ,HTD,8:00,HB/Hot Standby
R15135,HUH,04:50 ,11:20 ,HUH,6:00,HUHP1 Run1
R15136,HUH,14:28 ,22:28 ,HUH,7:30,MKKP1 STOP
R15137,HUH,15:03 ,23:03 ,HUH,7:30,EMU
R15138,HUH,16:27 ,01:12 ,HTD,8:15,EMU
R15139,HUH,05:56 ,12:26 ,HUH,6:00,EMU
R15140,HUH,04:28 ,12:28 ,HUH,7:30,KB
R15141,HUH,06:34 ,13:04 ,HUH,6:00,EMU
R15142,HUH,17:14 ,01:44 ,HUH,8:00,HUHP1 STOP
R15143,HUH,16:34 ,01:04 ,HUH,8:00,EMU
R15144,HUH,06:15 ,12:45 ,HUH,6:00,EMU
R15145,HUH,08:01 ,16:16 ,HUH,7:45,EMU
R15146,HUH,14:14 ,22:14 ,HUH,7:30,EMU
R15147,HUH,12:50 ,21:20 ,HUH,8:00,EMU
R15148,HUH,11:26 ,19:41 ,HUH,7:45,EMU
R15149,HUH,04:50 ,11:20 ,HUH,6:00,HUHP4 Run2
R15150,HUH,04:28 ,10:58 ,HUH,6:00,MKKP1 Run4
R15151,HTD,05:26 ,11:56 ,HUH,6:00,Run27 + BY
R15152,HUH,17:46 ,01:46 ,HUH,7:30,HUHP4  STOP
R15153,HUH,18:06 ,01:51 ,HUH,7:15,SHTP1  STOP
R15154,HUH,16:41 ,01:11 ,HUH,8:00,EMU
R15155,HUH,06:37 ,14:52 ,HUH,7:45,EMU
R15156,HTD,06:36 ,13:06 ,HUH,6:00,Run29
R15157,HUH,15:10 ,21:40 ,HUH,6:00,MKKP1S STOP
