番號,上班地點,上班時間,下班時間,下班地點,工時,備註
X72534,SHS,07:00 ,13:30 ,HUH,06:00,LWM BY
X72535,SHT,04:05 ,11:50 ,HUH,07:15,SHTP1 Run6
X72536,HUH,13:50 ,21:20 ,HTD,07:00,EMU
X72537,HUH,16:45 ,01:30 ,HUH,08:15,LMCP2 STOP
X72538,HUH,14:32 ,22:32 ,HUH,07:30,EMU
X72539,HUH,06:30 ,13:45 ,HUH,06:45,EMU
X72540,HTD,05:24 ,11:54 ,HUH,06:00,Run26
X72541,HUH,18:16 ,01:31 ,HUH,06:45,FOTP4  STOP
X72542,HUH,15:42 ,00:27 ,HUH,08:15,TAPP1  STOP
X72543,HUH,13:00 ,21:00 ,HUH,07:30,SB
X72544,SHS,04:55 ,13:10 ,HUH,07:45,SHSP2 Run14
X72545,SHT,04:05 ,11:05 ,HUH,06:30,TAPP1 Run13
X72546,HUH,15:35 ,22:05 ,LOW,06:00,LG1N STOP + LWM BY
X72547,HUH,16:03 ,00:48 ,HTD,08:15,EMU
X72548,HUH,15:04 ,23:34 ,HUH,08:00,LMC OFF
X72549,SHS,04:55 ,12:40 ,HUH,07:15,LMCP1 Run22
X72550,SHS,04:55 ,13:10 ,HUH,07:45,LG2S Run16
X72551,HUH,17:35 ,01:35 ,HUH,07:30,LOWP1 STOP
X72552,HTD,16:30 ,00:45 ,HTD,07:45,HB
X72553,HUH,14:22 ,21:52 ,HUH,07:00,EMU
X72554,HUH,08:35 ,15:35 ,HUH,06:30,EMU
X72555,HUH,08:07 ,14:52 ,HUH,06:15,EMU
