Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
Y14101,HUH,07:33 AM,03:48 PM,HUH,7:45,EMU
Y14102,HUH,05:16 AM,01:31 PM,HUH,7:45,MKKP1S T3
Y14103,HTD,05:05 AM,11:35 AM,HUH,6:00,T24
Y14104,HUH,01:45 PM,09:45 PM,HUH,7:45,EMU
Y14105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
Y14106,HUH,10:24 AM,06:39 PM,HUH,7:45,EMU
Y14107,HUH,05:22 AM,12:52 PM,HUH,7:00,EMU
Y14108,HUH,08:11 AM,03:11 PM,HUH,8:00,EMU
Y14109,HUH,04:49 PM,01:19 AM,HUH,8:00,FOTP1 停放
Y14110,HUH,05:56 PM,01:41 AM,HUH,7:15,SHTP3 停放
Y14111,HUH,02:03 PM,10:18 PM,HUH,7:45,EMU
Y14112,HUH,05:17 AM,01:02 PM,HUH,7:15,EMU
Y14113,SHT,04:05 AM,11:20 AM,HUH,6:45,SHTP4S T8/HTD 換車隊
Y14114,HUH,12:38 PM,08:23 PM,HUH,7:15,EMU/充風隊
Y14115,HUH,01:30 PM,09:15 PM,HUH,7:45,EMU
Y14116,HUH,12:24 PM,08:24 PM,HUH,7:30,EMU/Standby
Y14117,HUH,08:07 AM,04:22 PM,HUH,7:45,EMU
Y14118,HUH,05:26 AM,01:11 PM,HUH,7:15,EMU
Y14119,HUH,04:28 AM,11:13 AM,HUH,6:15,MKKP3 T5
Y14120,HUH,06:41 PM,01:26 AM,HTD,6:15,EMU
Y14121,HUH,05:11 PM,01:26 AM,HUH,7:45,SHTP4 停放
Y14122,HUH,04:14 PM,12:44 AM,HUH,8:00,SHTP4S 停放
Y14123,HTD,05:53 AM,12:53 PM,HUH,6:30,HTD on duty/EMU
Y14124,HUH,06:55 AM,02:55 PM,HUH,7:30,EMU
Y14125,HTD,05:11 AM,11:41 AM,HUH,6:00,T25/充風隊
Y14126,HUH,01:18 PM,09:33 PM,HUH,7:45,EMU
Y14127,HUH,12:02 PM,08:02 PM,HUH,7:30,EMU
Y14128,HUH,06:52 AM,03:07 PM,HUH,7:45,EMU
Y14129,SHT,04:05 AM,11:05 AM,HUH,6:30,SHTP3 T7
Y14130,HUH,06:17 PM,01:47 AM,HUH,7:00,MKKP3 停放
Y14131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
Y14132,HUH,04:00 PM,12:00 AM,HUH,7:30,EMU
Y14133,HUH,06:41 AM,03:26 PM,HUH,8:15,EMU
Y14134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
Y14135,HUH,04:50 AM,11:20 AM,HUH,6:00,HUHP1 T1
Y14136,HUH,04:53 PM,01:23 AM,HUH,8:00,MKKP1 停放
Y14137,HTD,04:28 PM,01:13 AM,HUH,8:15,T8a
Y14138,HUH,04:32 PM,01:02 AM,HTD,8:00,EMU
Y14139,HUH,05:56 AM,01:56 PM,HUH,7:30,EMU
Y14140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
Y14141,HUH,06:34 AM,02:49 PM,HUH,7:45,EMU
Y14142,HUH,05:42 PM,01:42 AM,HUH,7:30,HUHP1 停放
Y14143,HUH,05:18 PM,01:18 AM,HUH,7:30,EMU
Y14144,HUH,06:15 AM,02:15 PM,HUH,7:30,EMU
Y14145,HUH,08:04 AM,04:34 PM,HUH,8:00,EMU
Y14146,HUH,01:14 PM,09:44 PM,HUH,8:00,EMU
Y14147,HUH,12:47 PM,09:02 PM,HTD,8:00,EMU
Y14148,HUH,11:26 AM,06:56 PM,HUH,7:00,EMU/Standby
Y14149,HUH,04:50 AM,12:20 PM,HUH,7:00,HUHP4 T2/AM BY
Y14150,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP1 T4
Y14151,HTD,05:26 AM,01:56 PM,HUH,8:00,T27
Y14152,HUH,05:53 PM,01:53 AM,HUH,7:30,HUHP4 停放
Y14153,HUH,07:12 PM,01:57 AM,HUH,6:15,SHTP1 停放
Y14154,HUH,05:14 PM,01:14 AM,HUH,7:30,EMU
Y14155,HUH,06:37 AM,02:52 PM,HUH,7:45,EMU
Y14156,HTD,06:36 AM,02:36 PM,HUH,7:30,T29
Y14157,HUH,03:38 PM,12:08 AM,HUH,8:00,MKKP1S 停放
Y14158,HUH,12:51 PM,08:51 PM,HUH,7:30,EMU
Y14159,HTD,12:00 PM,07:15 PM,HUH,6:45,HTD BY/T9a
Y14301,HUH,08:00 AM,02:30 PM,HUH,6:00,P702/P705/P712
Y14302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Y14303,HUH,10:10 PM,06:10 AM,HUH,8:00,ET12
Y14304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
Y14305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
Y14306,HUH,10:15 AM,05:15 PM,HUH,6:30,P708/P713
Y14307,HUH,01:36 PM,09:21 PM,HTD,7:15,EMU
Y14308,HUH,01:30 PM,10:15 PM,HUH,8:15,P714/P717/P720
Y14309,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Y14310,HUH,01:30 PM,09:45 PM,HUH,7:45,P711/P718/P721
Y14311,HUH,08:00 AM,03:00 PM,HUH,6:30,P703/P704/P707
Y14312,HUH,07:48 AM,04:18 PM,HUH,8:00,EMU
Y14313,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
Y14314,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
Y14315,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
Y14316,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Y14317,HUH,10:10 PM,06:10 AM,HUH,8:00,ET11
Y14318,HUH,10:10 PM,06:10 AM,HUH,8:00,ET10
Y14319,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
Y14320,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Y14321,HUH,10:10 PM,06:10 AM,HUH,8:00,ET9
Y14322,HUH,10:10 PM,06:10 AM,HUH,8:00,ET7
Y14323,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
Y14501,SHS,04:55 AM,12:10 PM,HUH,6:45,LOW Step2
Y14502,SHS,04:55 AM,11:55 AM,HUH,6:30,LOWP1 T20
Y14503,SHT,04:05 AM,11:20 AM,HUH,6:45,FOTP4 T11
Y14504,HUH,02:17 PM,09:32 PM,HUH,6:45,LG2S 停放
Y14505,HUH,02:21 PM,09:36 PM,HTD,6:45,EMU
Y14506,HUH,10:59 AM,07:14 PM,HUH,7:45,EMU
Y14507,SHS,06:00 AM,02:30 PM,HUH,8:00,LG1N T18/HUH BY
Y14508,SHT,04:05 AM,11:35 AM,HUH,7:00,SHTP4 T9
Y14509,HUH,05:21 PM,01:36 AM,HTD,7:45,EMU
Y14510,HUH,05:28 PM,01:28 AM,HUH,7:30,SHSP2 停放
Y14511,HUH,02:48 PM,10:18 PM,HUH,7:00,SG2S 停放
Y14512,SHS,04:55 AM,12:55 PM,HUH,7:30,SG2S T15
Y14513,SHS,04:55 AM,12:40 PM,HUH,7:15,LMC Step1
Y14514,SHT,04:05 AM,11:35 AM,HUH,7:00,LOW Step1/HUH BY
Y14515,HUH,01:09 PM,08:54 PM,HUH,7:15,EMU
Y14516,HUH,11:39 AM,07:39 PM,HUH,7:30,EMU
Y14517,HUH,07:09 AM,03:39 PM,HUH,8:00,EMU
Y14518,SHT,04:05 AM,12:05 PM,HUH,7:30,SB
Y14519,SHS,04:55 AM,01:25 PM,HUH,8:00,LMCP2 T23
Y14520,HUH,06:24 PM,01:24 AM,HUH,6:30,LMCP1 停放
Y14521,HUH,04:39 PM,12:24 AM,HUH,7:15,LG2N 停放
Y14522,HUH,01:27 PM,09:57 PM,HUH,8:00,EMU
Y14523,HUH,07:26 AM,03:56 PM,HUH,8:00,EMU
Y14524,SHS,04:55 AM,12:10 PM,HUH,6:45,LOWP3 T21
Y14525,SHT,04:05 AM,11:50 AM,HUH,7:15,FOTP1 T10/Standby
Y14526,HUH,04:46 PM,01:31 AM,HUH,8:15,LOWP3 停放
Y14527,HUH,04:00 PM,12:30 AM,HUH,8:00,SB
Y14528,HTD,06:05 AM,02:34 PM,HUH,8:00,T28
Y14529,SHT,04:05 AM,11:50 AM,HTD,7:15,RACP1 T12
Y14530,HUH,05:32 PM,01:32 AM,HTD,7:30,EMU
Y14531,HUH,05:46 PM,01:31 AM,HUH,7:15,LG1S 停放
Y14532,HUH,04:23 PM,12:53 AM,HUH,8:00,SHS 報收工
Y14533,SHS,06:00 AM,01:45 PM,HUH,7:15,SHS by + EMU
Y14534,SHS,04:55 AM,12:25 PM,HUH,7:00,LG2N T19
Y14535,SHT,04:05 AM,10:50 AM,HUH,6:15,SHTP1 T6
Y14536,HUH,06:06 PM,01:36 AM,HUH,7:00,RACP1 停放
Y14537,HUH,06:00 PM,01:30 AM,HUH,7:00,LMCP2 停放
Y14538,HUH,03:51 PM,12:36 AM,HUH,8:15,SHS 報收工
Y14539,SHS,04:55 AM,12:40 PM,HUH,7:15,LG2S T17
Y14540,HTD,05:22 AM,01:37 PM,HUH,7:45,T26
Y14541,HUH,05:07 PM,01:52 AM,HUH,8:15,FOTP4 停放
Y14542,HUH,03:15 PM,12:00 AM,HUH,8:15,TAPP1 停放
Y14543,HUH,01:00 PM,09:00 PM,HUH,7:30,SB
Y14544,SHS,04:55 AM,12:25 PM,HUH,7:00,SHSP2 T14/Standby
Y14545,SHT,04:05 AM,11:05 AM,HTD,6:30,TAPP1 T13
Y14546,HUH,06:13 PM,01:28 AM,HUH,6:45,LG1N 停放
Y14547,HTD,04:04 PM,12:19 AM,HUH,7:45,T15a
Y14548,HUH,02:35 PM,11:20 PM,HUH,8:15,LMC 報收工
Y14549,SHS,04:55 AM,12:25 PM,HUH,7:00,LMCP1 T22
Y14550,SHS,04:55 AM,12:10 PM,HTD,6:45,LG1S T16
Y14551,HUH,06:55 PM,01:40 AM,HUH,6:15,LOWP1 停放
Y14552,HTD,04:30 PM,12:45 AM,HTD,7:45,HB
Y14553,HUH,01:59 PM,09:59 PM,HUH,7:30,EMU/PM BY
Y14554,HUH,08:29 AM,04:44 PM,HUH,7:45,EMU
Y14555,HUH,08:01 AM,04:46 PM,HUH,8:15,EMU
Y14556,HTD,06:13 AM,02:43 PM,HUH,8:00,T30/Standby
Y14557,HUH,06:59 PM,01:29 AM,HTD,6:00,EMU
Y14558,HUH,08:20 AM,05:05 PM,HUH,8:15,EMU
Y14559,HUH,02:39 PM,11:24 PM,HUH,8:15,EMU
Y14560,HUH,02:44 PM,10:59 PM,HUH,7:45,EMU
Y14561,HUH,05:00 PM,12:45 AM,HTD,7:15,EMU
Y14562,HUH,05:35 PM,01:35 AM,HTD,7:30,EMU
