Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
V61101,HUH,07:31 AM,03:01 PM,HUH,7:00,EMU
V61102,HUH,05:16 AM,12:46 PM,HUH,7:00,MKKP1S T3
V61103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
V61104,HUH,01:44 PM,08:59 PM,HUH,6:45,EMU
V61105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
V61106,HUH,01:25 AM,05:40 PM,HUH,6:45,EMU
V61107,HUH,05:22 AM,12:37 PM,HUH,6:45,EMU
V61108,HUH,08:11 AM,04:41 PM,HUH,8:00,EMU
V61109,HUH,05:18 PM,01:18 AM,HUH,7:30,FOTP1 STOP
V61110,HUH,06:04 PM,01:49 AM,HUH,7:15,SHTP3 STOP
V61111,HUH,02:12 PM,09:27 PM,HTD,6:45,EMU
V61112,HUH,05:17 AM,01:02 PM,HUH,7:15,EMU
V61113,SHT,04:05 AM,11:05 AM,HUH,6:30,SHTP4S T8
V61114,HUH,12:42 PM,08:12 PM,HUH,7:00,EMU/PM BY
V61115,HUH,01:00 PM,08:30 PM,HUH,7:00,EMU
V61116,HUH,12:22 PM,07:22 PM,HUH,6:30,EMU
V61117,HUH,08:07 AM,04:22 PM,HUH,7:45,EMU
V61118,HUH,05:41 AM,01:11 PM,HUH,7:00,EMU
V61119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
V61120,HUH,05:11 PM,01:26 AM,HTD,7:45,EMU
V61121,HUH,05:37 PM,01:37 AM,HUH,7:30,SHTP4 STOP
V61122,HUH,04:13 PM,12:58 AM,HUH,8:15,SHTP4S STOP
V61123,HTD,05:53 AM,02:08 PM,HTD,7:45,HTD on duty/EMU
V61124,HUH,06:55 AM,02:25 PM,HUH,7:00,EMU
V61125,HTD,05:11 AM,01:41 PM,HTD,8:00,T25
V61126,HUH,01:24 PM,10:09 PM,HUH,8:15,EMU
V61127,HUH,12:02 PM,07:17 PM,HUH,6:45,EMU
V61128,HUH,06:52 AM,01:52 PM,HUH,6:30,EMU
V61129,SHT,04:05 AM,12:05 PM,HUH,7:30,SHTP3 T7
V61130,HUH,06:55 PM,01:55 AM,HUH,6:30,MKKP3 STOP
V61131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
V61132,HUH,03:11 PM,10:11 PM,HUH,6:30,EMU
V61133,HUH,06:41 AM,03:11 PM,HUH,8:00,EMU
V61134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
V61135,HUH,04:50 AM,12:50 PM,HUH,7:03,HUHP1 T1
V61136,HUH,06:49 PM,01:19 AM,HUH,6:00,HUHP1 STOP
V61137,HTD,05:57 PM,12:57 AM,HUH,6:30,T24a
V61138,HUH,04:17 PM,01:02 AM,HTD,8:15,EMU
